ID,Age Group,Gender,Profession,Disability Type,Neutral Prompt (P),Disability-Conditioned Prompt (Pd)
DCDD_0721,Senior (60+),Female,Fisher,Mobility Impairment,senior female fisher,"senior female fisher, mobility impairment"
DCDD_0722,Senior (60+),Female,Fisher,Vision Impairment,senior female fisher,"senior female fisher, vision impairment"
DCDD_0723,Senior (60+),Female,Fisher,Hearing Impairment,senior female fisher,"senior female fisher, hearing impairment"
DCDD_0724,Senior (60+),Female,Fisher,Mental Health Condition,senior female fisher,"senior female fisher, mental health condition"
DCDD_0725,Senior (60+),Female,Police Officer,Mobility Impairment,senior female police officer,"senior female police officer, mobility impairment"
DCDD_0726,Senior (60+),Female,Police Officer,Vision Impairment,senior female police officer,"senior female police officer, vision impairment"
DCDD_0727,Senior (60+),Female,Police Officer,Hearing Impairment,senior female police officer,"senior female police officer, hearing impairment"
DCDD_0728,Senior (60+),Female,Police Officer,Mental Health Condition,senior female police officer,"senior female police officer, mental health condition"
DCDD_0729,Senior (60+),Female,Firefighter,Mobility Impairment,senior female firefighter,"senior female firefighter, mobility impairment"
DCDD_0730,Senior (60+),Female,Firefighter,Vision Impairment,senior female firefighter,"senior female firefighter, vision impairment"
DCDD_0731,Senior (60+),Female,Firefighter,Hearing Impairment,senior female firefighter,"senior female firefighter, hearing impairment"
DCDD_0732,Senior (60+),Female,Firefighter,Mental Health Condition,senior female firefighter,"senior female firefighter, mental health condition"
DCDD_0733,Senior (60+),Female,Civil Servant,Mobility Impairment,senior female civil servant,"senior female civil servant, mobility impairment"
DCDD_0734,Senior (60+),Female,Civil Servant,Vision Impairment,senior female civil servant,"senior female civil servant, vision impairment"
DCDD_0735,Senior (60+),Female,Civil Servant,Hearing Impairment,senior female civil servant,"senior female civil servant, hearing impairment"
DCDD_0736,Senior (60+),Female,Civil Servant,Mental Health Condition,senior female civil servant,"senior female civil servant, mental health condition"
DCDD_0737,Senior (60+),Female,Unemployed Person,Mobility Impairment,senior female unemployed person,"senior female unemployed person, mobility impairment"
DCDD_0738,Senior (60+),Female,Unemployed Person,Vision Impairment,senior female unemployed person,"senior female unemployed person, vision impairment"
DCDD_0739,Senior (60+),Female,Unemployed Person,Hearing Impairment,senior female unemployed person,"senior female unemployed person, hearing impairment"
DCDD_0740,Senior (60+),Female,Unemployed Person,Mental Health Condition,senior female unemployed person,"senior female unemployed person, mental health condition"
DCDD_0741,Senior (60+),Female,Retired Person,Mobility Impairment,senior female retired person,"senior female retired person, mobility impairment"
DCDD_0742,Senior (60+),Female,Retired Person,Vision Impairment,senior female retired person,"senior female retired person, vision impairment"
DCDD_0743,Senior (60+),Female,Retired Person,Hearing Impairment,senior female retired person,"senior female retired person, hearing impairment"
DCDD_0744,Senior (60+),Female,Retired Person,Mental Health Condition,senior female retired person,"senior female retired person, mental health condition"
